check,status,detail,timestamp
wifi_only_ethernet,FAIL,Wi-Fi active,2026-03-09T12:26:01+01:00
ping:10.34.1.31,OK,"10.34.1.31 (10.34.1.31): 56 data bytes
Request timeout for icmp_seq 0
Request timeout for icmp_seq 1

--- 10.34.1.31 ping statistics ---
3 packets transmitted, 0 packets received, 100.0% packet loss",2026-03-09T12:26:06+01:00
tcp:10.34.1.31:22,FAIL,timed out,2026-03-09T12:26:11+01:00
tcp:10.34.1.31:5201,FAIL,timed out,2026-03-09T12:26:16+01:00
ntp_sync,OK,"sntp_exchange {
        result: 0 (Success)
        header: 24 (li:0 vn:4 mode:4)
       stratum: 01",2026-03-09T12:26:16+01:00
tool:iperf3,OK,/usr/local/bin/iperf3,2026-03-09T12:27:50+01:00
tool:mtr,FAIL,,2026-03-09T12:27:50+01:00
tool:traceroute,OK,/usr/sbin/traceroute,2026-03-09T12:27:50+01:00
tool:ping,OK,/sbin/ping,2026-03-09T12:27:50+01:00
tool:ffmpeg (optional),FAIL,not installed — optional,2026-03-09T12:27:50+01:00
interface:en5,FAIL,"{'interface_name': 'en5', 'interface_ip': '', 'gateway': '192.168.18.1', 'mtu': 16000}",2026-03-09T12:27:50+01:00
wifi_only_ethernet,FAIL,Wi-Fi active,2026-03-09T12:27:50+01:00
ping:10.34.1.31,OK,"34.1.31: icmp_seq=2 ttl=62 time=71.176 ms

--- 10.34.1.31 ping statistics ---
3 packets transmitted, 3 packets received, 0.0% packet loss
round-trip min/avg/max/stddev = 71.176/77.368/85.570/6.046 ms",2026-03-09T12:27:52+01:00
tcp:10.34.1.31:22,OK,78.2ms,2026-03-09T12:27:52+01:00
tcp:10.34.1.31:5201,FAIL,[Errno 61] Connection refused,2026-03-09T12:27:52+01:00
ntp_sync,OK,"sntp_exchange {
        result: 0 (Success)
        header: 24 (li:0 vn:4 mode:4)
       stratum: 01",2026-03-09T12:27:52+01:00
